geonames_id:ID,latitude:double,longitude:double,country_uuid,country_name,:LABEL
2658434,46.8182,8.2275,2e4cec11-bd7a-4f5f-a7a4-c6aa24d6564c,Switzerland,Country
2661886,60.1282,18.6435,92440b4d-803e-4df9-ad0b-32d9be403082,Sweden,Country
2750405,52.1326,5.2913,7d377845-c8fa-464b-a1b6-882cab690b44,Netherlands,Country
2782113,47.5162,14.5501,0a5bcf12-9565-45e8-a362-fb65cc356dba,Austria,Country
2802361,50.5039,4.4699,ebcb2459-cd79-4aed-aac2-7bb146d207bc,Belgium,Country
2921044,51.1657,10.4515,f1f45569-9328-44e2-b6fa-9ba3fbb85cdc,Germany,Country
2960313,49.6116,6.1319,892e3a8a-f826-44db-b2fb-ff13d0bb8f8a,Luxembourg,Country
2963597,53.4129,-8.2439,fba3d749-43c7-46d8-a793-611f81d19518,Ireland,Country
2993457,43.7384,7.4246,b7b11f4c-bc94-41e9-917e-91bcc6012515,Monaco,Country
3017382,46.2276,2.2137,423b704f-7bd2-44bd-93af-25e8d861fc22,France,Country
3041565,42.5063,1.5218,ea4807be-40ce-4c22-9fbf-434e3d43a2e5,Andorra,Country
3042058,47.166,9.5554,731cb269-1459-4726-9017-71c74a31f6fc,Liechtenstein,Country
3042142,49.19,-2.11,24c152c8-0cd3-473d-9296-013b213e3925,Jersey,Country
3042225,54.2361,-4.5481,c24234bb-a767-4b51-8283-796afc709d17,Isle of Man,Country
3042362,49.4657,-2.5853,a89fd1fd-e64f-4406-8948-dc0156a3bcfe,Guernsey,Country
3057568,48.669,19.699,514e9fde-ee4f-470a-9c29-58bb680b29e9,Slovakia,Country
3077311,49.8175,15.473,cf93c18d-9c98-4a26-b101-37f93f156802,Czech Republic,Country
3144096,60.472,8.4689,f0219956-6721-4af6-b010-36b0dff59397,Norway,Country
3164670,41.9029,12.4534,1ba9a460-eab1-4318-8b9b-b6467eb2382c,Vatican City,Country
3168068,43.9424,12.4578,cffe67cd-8039-47e9-9071-7fa09443f088,San Marino,Country
3175395,41.8719,12.5674,98856bff-bd4b-4f54-a246-54f182b93aed,Italy,Country
3190538,46.1512,14.9955,a39a9bfa-df4e-4542-a1ee-f54ab49bbe54,Slovenia,Country
3194884,42.7087,19.3744,ad4db464-be29-40f0-811e-94d10d26933c,Montenegro,Country
3202326,45.1,15.2,2bfc5421-90c2-4a88-aa63-d93993d4075b,Croatia,Country
3277605,43.9159,17.6791,a70892d6-3858-4f3e-9aa8-af8ae88d72f1,Bosnia and Herzegovina,Country
3351879,-11.2027,17.8739,7106e280-743a-4c41-a4b8-8d430e4d72cd,Angola,Country
3355338,-22.9576,18.4904,c80fe1a4-f554-4112-9ff7-23bdc1a1c85c,Namibia,Country
3370751,-15.965,-5.7089,e07f7922-9f70-414b-acab-24d9a2f7a0c0,Saint Helena,Country
3374084,13.1939,-59.5432,0bec62fe-a06c-4e34-8815-b4a572d3dada,Barbados,Country
3374766,16.5388,-23.0418,9c920039-2fd9-4876-91a2-85836d3e85f1,Cape Verde,Country
3378535,4.8604,-58.9302,a9d6b71a-3c56-4f10-ab4c-8786891c524f,Guyana,Country
3381670,3.9339,-53.1258,cef9cdcb-61b2-456c-8455-355395aa9a7a,French Guiana,Country
3382998,3.9193,-56.0278,79791edc-c0d5-41f4-bbb7-c4f4ac3333ac,Suriname,Country
3424932,46.8852,-56.3159,779628e1-fc5e-4fa9-9d44-8d3c77492363,Saint Pierre and Miquelon,Country
3425505,71.7069,-42.6043,b1b3fdd4-d1a5-485c-af18-41ae370eb9d3,Greenland,Country
3437598,-23.4425,-58.4438,4a4fae0f-ec9b-494b-b53b-d6c3089cd8c7,Paraguay,Country
